title,project,issue_type
"[BUG] Input[date|time|datetime-local] min & max attributes ignore ngModelOptions timezone",angular.js,BUG
"fix(input): allow overriding timezone for date input types",angular.js,BUG
"fix(input[text]): composing function dosen't works properly in IE",angular.js,BUG
"fix($http): correct xhrStatus of different `timeout` values",angular.js,BUG
"fix($$RAFProvider): prevent a JavaScript error in Firefox",angular.js,BUG
"$overrideModelOptions does not apply timezone",angular.js,BUG
"numberFilter unnecessary string to number to string conversion => precision issue",angular.js,BUG
"$location issue for decoded and unencoded urls",angular.js,BUG
"angular.copy does not support MediaStream object",angular.js,BUG
"AnimateRunner adds to the $timeout queue when the document is hidden but does not flush the queue ",angular.js,BUG
"ngOptions "track by" makes copies of array elements, expected references",angular.js,BUG
"TypeError: Cannot assign to read only property 'data' of object '#<ImageData>'",angular.js,BUG
"NgAnimate > ng-leave classes randomly fail to be applied on iOS browsers",angular.js,BUG
"Infinite $digest() loop AngularJS with filter expression on html attribute",angular.js,BUG
"jqLite#removeData shouldn't touch the event handlers' storage",angular.js,BUG
"(fix): merge URI query into fragment in non-html5 $location mode.",angular.js,BUG
"Fix: set $submitted on child forms when form is submitted",angular.js,BUG
"'select multiple' elements transcluded inside a component don't compile in IE",angular.js,BUG
"$viewChangeListeners not called with <input type="radio">",angular.js,BUG
"jqLite "document ready" implementation causes lazy-loaded apps bootstrap to be delayed after window.onload",angular.js,BUG
"Multiple binding expressions in radio button 'name' fields causes incorrect default values to be set",angular.js,BUG
"Add parentNode check when removing JSONP request file",angular.js,BUG
"Errors throw from $onChanges result in an array passed to $exceptionHandler",angular.js,BUG
"fix($compile): support transcluding multi-element directives",angular.js,BUG
"fix($compile): support transcluding multi-element directives",angular.js,BUG
"fix($rootScope): don't allow explicit digest calls to affect $evalAsync",angular.js,BUG
"fix($animateCss): avoid flicker caused by temporary classes",angular.js,BUG
"fix($animateCss): avoid flicker caused by temporary classes",angular.js,BUG
"Microsoft Edge: ng-model doesn't work with input type="number" and arrow keys",angular.js,BUG
"ngMessage text is duplicated with ngAnimate when using $asyncValidators with low timeouts (<35ms)",angular.js,BUG
"ngAnimate#on, if animated element doesn't exists, empty jQuery / jqLite selector",angular.js,BUG
"ng-attr-xxx can't be used with ng-attr-data-xxx",angular.js,BUG
"Manually calling $digest on a scope prevents $rootScope.$digest from executing for pending $evalAsyncs",angular.js,BUG
"fix(currencyFilter): trim currency string",angular.js,BUG
"$animate.leave causes IE error if raw DOM element passed",angular.js,BUG
"fix(ngRepeat): trigger move animation",angular.js,BUG
"ngRepeat does not trigger move animation",angular.js,BUG
"ng-if around a single radio button removes the entire ngModelController from the formController",angular.js,BUG
"ngAnimate: Issues with toggling animation on time",angular.js,BUG
"bug(ngModel): `$setViewValue` doesn't call `$$debounceViewValue` when called with the appropriate `trigger`",angular.js,BUG
"Input field model isn't updated after Alt Code sign in IE11",angular.js,BUG
"ng-change event is not triggered for IE11 when the element has no keydown event fired",angular.js,BUG
"fix(input): update $viewValue when cleared",angular.js,BUG
"There is strange behaviour with radiobuttons and data-type in Chrome.",angular.js,BUG
"Error ng-invalid-date whe then user clicks "X" in Chrome",angular.js,BUG
"$asyncValidators run multiple times per element on load (given ng-repeat || ng-(min/max)length))",angular.js,BUG
"ngAria should check for interactive child elements before binding role=button and tabindex=0",angular.js,BUG
"feat(ngAria[ngClick]): preventDefault on pressing Space so the page doesn't scroll",angular.js,BUG
"ng-animate 1.5.5 - ng-animate-ref - Broken on Safari Desktop and iOS 9.3",angular.js,BUG
"ngRepeat breaks when re-created by ngIf under certain circumstances",angular.js,BUG
"Date filter issue with UTC timezone when used from browser running in Isarel timezone and on DST change date Mar 25",angular.js,BUG
"fix($timeout): `verifyNoPendingTasks()` throws even for non-timeout pending tasks",angular.js,BUG
"Wrong order of rendered elements when using ng-repeat, ng-if, and a directive",angular.js,BUG
"SVG 'image' tag in an external template file fails to compile",angular.js,BUG
"ngTouch does not work in MS Edge",angular.js,BUG
"fix($interpolate): always unescape escaped interpolation markers",angular.js,BUG
"Escaped interpolation markers are not unescaped if there are no interpolated expressions in the same text",angular.js,BUG
"ngMock: wrong parsing of pathParams when there are queryParams",angular.js,BUG
"$animateCss used on a directive that uses a templateUrl breaks",angular.js,BUG
"ng-hide and ng-show showing at the same time for a short period of time in IE11",angular.js,BUG
"decodeURIComponent - prevent URIError",angular.js,BUG
"ngSanitize 1.5.0 triggers Internet Explorer memory leak",angular.js,BUG
"angular-mocks $httpBackend always return the same object instance when $http cache is enabled",angular.js,BUG
"ngForm stays $dirty after control.$setPristine()",angular.js,BUG
"fix removeFromArray",angular.js,BUG
"Problems with ngModel input and Chinese IME",angular.js,BUG
"ngMock window.inject() does not add inject() call location info to errors thrown from repeated inject() callback calls",angular.js,BUG
"[don't merge]: fix($animateCss): respect transition styles already on the element",angular.js,BUG
"ngOptions problems with updating object properties in options array",angular.js,BUG
"the $emit loop is not aware which listener was removed",angular.js,BUG
"IE11 Error: Invalid argument when parsing a link href containing a percent sign",angular.js,BUG
"ng-options with track by and circular reference in objects -> Maximum call stack size exceeded",angular.js,BUG
"ngOptions is setting select $dirty when options change and selected option is removed",angular.js,BUG
"ngAnimate transitions on android webview 4.",angular.js,BUG
"Safari autocomplete not updating model",angular.js,BUG
"Svg Pattern Tag Removed using ngSanitize",angular.js,BUG
"Potential Bug with URL Hash being decoded (Tested on Angular 1.4.2 & 1.4.7) ",angular.js,BUG
"feat($resource): pass isArray to http config",angular.js,BUG
"Raw exception object exposed to $http responseError interceptor on CSP violation",angular.js,BUG
"reloadWithDebugInfo does not work when the host already uses window.name",angular.js,BUG
"NUMBER_REGEXP doesn't match on decimal input[number] value on Windows Phone 8.1",angular.js,BUG
"ngMessages(ngAnimate 1.4.5?): Flash of content before animation begins.",angular.js,BUG
"Hidden animated panels are visible on page load",angular.js,BUG
"Do not force a reload when navigating out of the app base",angular.js,BUG
"mouseleave not caught in certain situations",angular.js,BUG
"fix(input): patched input cjk binding bug on IE11 browser. (angularjs v1.4.4)",angular.js,BUG
"ngAnimate assumes transition is linear instead of using the value in CSS",angular.js,BUG
"Fix #1678 by allowing headers.Authorization to be a 2 item username/password array",angular.js,BUG
"Safari - ng-animate using ng-class value is not animating on ng-enter",angular.js,BUG
"COMMENT_DIRECTIVE_REGEXP not matching multi-line comment directives",angular.js,BUG
"ng-animate-ref - Clone doesn't copy contextual styling of original",angular.js,BUG
"Parent scope not inherited within directive using ngRepeat and replace",angular.js,BUG
"Leaving templateUrl empty in $routeProvider.when() crashes the browser",angular.js,BUG
"$asyncValidators with $q.when on rejected promise makes ng-invalid/valid flicker",angular.js,BUG
"ngClass on ngView is not in sync since 1.4.0-rc.0",angular.js,BUG
"Mock $httpBackend.flush() method never return/exit if custom $exceptionHandler use $http",angular.js,BUG
"Regression in filterFilter 1.3.6 changes when using a custom comparator function",angular.js,BUG
"JAWS 16 does not read aria-live content inside an ng-messages directive correctly when the content is dynamic",angular.js,BUG
"SVG attribute directive with replace:false does not include template in Internet Explorer",angular.js,BUG
"null is not an object on ios/cordova",angular.js,BUG
"HttpBackendMock expectation fails for Uint8Array response",angular.js,BUG
